target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A12CC30,61,6400,93.1,60.43,35.7,81.54,59.08,57.12,60.91,-1.35,-22,22.98,0.942,1.02,0.61,1.37
B01AA03,216,1689,89.66,67.48,57.62,75.3,65.72,62.05,68.71,-1.76,-9.93,8.37,0.710,1.03,0.87,1.15
B01AB04,380,1746,100,55.03,46.37,63.91,65.53,62.09,68.84,10.5,1.01,19.12,0.022,0.84,0.71,0.98
B01AB05,241,1747,100,62.56,53.53,70.46,66.08,62.89,69.61,3.52,-5.46,13.82,0.460,0.95,0.8,1.08
B01AC04,292,1728,93.1,61.67,51.3,71.35,66.85,63.85,70.13,5.18,-5.3,16.13,0.316,0.92,0.77,1.08
B01AC06,751,1141,100,57.73,53.55,62.48,60.34,56.55,64.73,2.61,-3.11,8.23,0.338,0.96,0.87,1.05
B01AC07,105,1734,93.1,69.86,55.57,82.97,66.43,63.17,69.79,-3.42,-16.74,12.75,0.600,1.05,0.81,1.26
B01AC30,99,1746,100,60.63,42.9,79.01,66.59,62.62,69.44,5.96,-12.52,24.11,0.566,0.91,0.64,1.19
B01AE07,56,1261,79.31,73.02,31.75,99.83,59.43,54.23,64.87,-13.59,-41.22,30.45,0.540,1.23,0.51,1.71
B01AF01,141,1367,100,59.6,36.85,87.7,61.78,54.35,66.3,2.18,-27.26,24.13,0.990,0.96,0.61,1.46
B01AF02,267,1247,96.55,40.01,26.71,74.63,60.35,50.9,65.85,20.34,-13.49,33.71,0.172,0.66,0.45,1.22
B03AA01,67,3954,86.21,64.28,21.41,97.48,61.46,59.07,63.53,-2.83,-36.44,40.57,0.616,1.05,0.35,1.59
B03AA07,273,3915,100,67.64,57.52,78.75,61.76,59.72,64.42,-5.88,-16.82,4.18,0.248,1.1,0.93,1.27
B03BA01,304,2945,89.66,69.59,56.39,78.67,62.84,60.1,65.16,-6.75,-16.26,6.2,0.294,1.11,0.9,1.27
B03BA02,238,1541,100,57.93,51.53,65.49,63.03,60.24,65.69,5.1,-2.56,11.54,0.206,0.92,0.82,1.04
B03BA03,556,2797,100,66.07,58.25,73.68,62.15,59.63,64.66,-3.92,-12.19,4.61,0.362,1.06,0.93,1.2
B03BB01,279,2897,100,69.22,62.01,78.1,62.41,60.06,65.17,-6.81,-15.5,1.2,0.096,1.11,0.98,1.25
C01AA05,48,6266,82.76,80.53,46.04,99.83,55.24,53.36,57.28,-25.29,-44.92,9.6,0.122,1.46,0.83,1.83
C01DA02,516,5158,100,57.36,51.14,63.14,54.7,52.7,56.76,-2.66,-8.36,3.48,0.402,1.05,0.94,1.16
C01DA14,126,5575,89.66,63.42,49.75,79.79,54.15,52.14,56.11,-9.26,-25.86,4.25,0.180,1.17,0.92,1.48
C03AA03,50,6282,96.55,49.42,23.96,72.59,56.48,54.59,58.16,7.06,-16.71,32.18,0.604,0.88,0.43,1.3
C03AB01,91,6041,89.66,52.09,35.41,67.51,56,54.09,57.78,3.91,-10.88,20.96,0.622,0.93,0.63,1.2
C03CA01,914,4473,100,58.39,54.16,62.79,51.15,49.43,53.56,-7.24,-11.49,-2.32,0.010,1.14,1.04,1.23
C03CA02,387,4906,100,67.36,59.49,75.75,52.93,51.32,55.49,-14.43,-22.45,-5.77,0.002,1.27,1.11,1.43
C03DA01,105,6319,93.1,76.5,59.24,94.16,55.38,53.5,57.25,-21.12,-38.59,-3.87,0.016,1.38,1.07,1.7
C05AA04,234,6090,100,49.8,37.9,62.21,56.82,54.9,58.54,7.02,-5.84,18.5,0.226,0.88,0.67,1.1
C05BA01,94,6364,100,54.54,33.25,74.2,55.94,53.9,57.41,1.4,-18.05,22.27,0.770,0.97,0.6,1.32
C07AA05,171,5365,96.55,51.64,34.05,65.81,57.02,55.02,58.72,5.37,-8.89,23.13,0.428,0.91,0.6,1.15
C07AB02,579,3749,100,51.95,46.59,57.44,54.46,52.3,56.93,2.51,-3.17,8.61,0.394,0.95,0.84,1.06
C07AB07,74,5403,96.55,52.24,29.48,80.15,55.99,53.97,57.85,3.75,-24.47,25.97,0.658,0.93,0.53,1.43
C08CA01,267,5457,100,52.32,42.13,63.36,55.65,53.67,57.34,3.33,-8.04,13.66,0.608,0.94,0.75,1.15
C08CA05,85,5914,100,63.05,43.98,78.29,55.82,53.76,57.54,-7.23,-22.37,10.88,0.422,1.13,0.8,1.41
C08CA13,75,5770,100,43.99,22.54,69.16,55.67,53.58,57.34,11.69,-13.35,33.01,0.318,0.79,0.41,1.24
