target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
D07AA02,282,5810,100,58.18,56.27,60.14,56.19,48.44,64.13,1.99,-6.55,9.76,0.632,0.97,0.83,1.11
D07AB02,792,5401,100,58.21,56.1,60.03,57.29,52.69,61.5,0.92,-3.95,5.19,0.738,0.98,0.91,1.07
D07AB08,239,5855,100,58.59,56.45,60.59,52.63,45.61,60.59,5.96,-1.89,13.38,0.124,0.9,0.78,1.03
D07AC01,578,5558,100,57.76,56.02,59.73,56.85,50.9,61.73,0.92,-4.25,6.67,0.784,0.98,0.89,1.07
D07AC03,105,5954,100,58.15,53.65,59.89,62.08,44.55,74.91,-3.92,-18.04,12.49,0.612,1.07,0.78,1.31
D07AC13,829,5403,100,57.83,55.83,59.67,57.09,52.64,60.99,0.74,-3.44,5.34,0.714,0.99,0.91,1.06
D07AD01,499,5598,100,58.17,56.19,60.06,57.86,51.74,63.9,0.32,-5.7,6.53,0.964,0.99,0.89,1.1
D07BB02,117,7986,89.66,56.85,54.62,59.68,54.89,40.72,72.57,1.96,-15.75,17.4,0.926,0.97,0.7,1.27
D07BC01,320,8604,100,58.39,56.63,59.82,52.42,44.89,61.15,5.97,-2.66,13.61,0.202,0.9,0.77,1.05
D07CA01,343,8820,100,57.4,55.86,58.85,64.13,56.98,70.3,-6.73,-13.41,0.13,0.066,1.12,1,1.24
D07XC01,293,8800,100,57.92,56.31,59.41,58.85,50.7,67.49,-0.93,-9.53,7.85,0.790,1.02,0.87,1.17
D08AC01,101,8991,100,57.75,52.97,59.28,48.89,34.93,63.71,8.87,-6.68,21.29,0.284,0.85,0.63,1.11
G03CA03,490,5167,41.38,52.37,50.26,54.51,20.59,16.06,47.91,31.78,3.57,36.78,<0.001,0.39,0.3,0.93
G03CA04,191,5380,51.72,51.92,49.75,54.59,78.22,53.9,84.87,-26.31,-32.7,-1.39,0.016,1.51,1.03,1.65
G04BD07,291,2329,100,52.9,49.52,56.13,58.44,50.68,65.03,-5.54,-12.08,1.75,0.158,1.1,0.97,1.23
G04BD08,541,2275,100,53.46,50.46,56.47,58.33,53,63.79,-4.86,-10.58,1.22,0.110,1.09,0.98,1.2
G04BD11,443,2236,96.55,51.4,47.93,55.76,58.48,52.58,65.72,-7.08,-13.96,-0.24,0.036,1.14,1,1.28
G04BD12,877,1399,100,52.38,42.86,61.95,62.78,48.31,78.21,-10.4,-28.63,6.99,0.216,1.2,0.87,1.63
G04BE03,625,2229,41.38,39.37,29.58,50.41,65.16,43.18,69.62,-25.79,-35.49,5.75,0.092,1.66,0.88,2.14
G04BE08,545,2288,96.55,49.21,45.51,53,37.14,29.37,45.5,12.07,3.68,19.92,0.008,0.75,0.6,0.92
G04BE09,152,2411,65.52,52.03,49.01,56.39,35.48,23.03,51.75,16.55,1.48,29.48,0.034,0.68,0.44,0.97
G04CA02,742,4109,75.86,49.04,45.68,51.47,47.94,37.98,59.43,1.1,-10.27,10.21,0.860,0.98,0.79,1.21
G04CA52,394,3456,93.1,47.27,44.65,51.58,63.07,49.15,74.89,-15.8,-27.3,-1.02,0.034,1.33,1.02,1.59
G04CB01,282,4505,89.66,48.66,46.23,50.94,50.4,41.31,60.15,-1.75,-11.7,7.45,0.718,1.04,0.85,1.24
H02AA02,117,366,96.55,55.19,47.18,63.26,90.89,70.79,97.03,-35.69,-44.45,-14.79,0.002,1.65,1.26,1.91
H02AB06,1387,307,100,57.93,47.66,64.68,60.83,55.04,64.2,-2.9,-11.28,5.42,0.478,1.05,0.91,1.23
H03AA01,175,1738,100,64.31,60.53,67.54,46.04,37.69,56.54,18.27,7.47,26.71,0.006,0.72,0.59,0.88
J01AA02,1253,10000,100,63.09,62.28,64.97,61.05,58.03,64.32,2.03,-1.16,6,0.184,0.97,0.91,1.02
J01CA04,1715,9395,100,62.36,61.22,63.74,62.84,59.66,65.98,-0.48,-3.56,2.91,0.880,1.01,0.95,1.06
J01CA08,3089,6811,100,59.4,58.1,61.34,67.94,65.27,70.18,-8.54,-10.96,-5.4,0.002,1.14,1.09,1.19
J01CE02,3119,8385,100,62.35,60.54,63.38,57.12,55.11,59.07,5.22,2.6,7.21,<0.001,0.92,0.88,0.96
J01CF01,1319,10000,100,63.26,61.86,64.41,62.35,58.75,65.89,0.91,-2.88,4.43,0.630,0.99,0.93,1.05
J01DB01,277,10000,100,62.49,61.25,64.52,69.04,62.67,75.44,-6.55,-12.17,0.64,0.076,1.1,0.99,1.2
J01EA01,1559,10000,100,60.14,59.4,62.2,69.64,66.68,73.07,-9.5,-12.18,-5.72,0.002,1.16,1.09,1.2
J01EE01,1298,10000,100,61.03,60.17,62.85,68.08,63.96,72.58,-7.05,-10.91,-2.32,0.002,1.12,1.04,1.18
J01FA01,660,10000,100,63.89,63.46,66.04,57.17,52.16,61.7,6.72,3.05,12.8,0.006,0.89,0.8,0.95
J01FA09,262,10000,100,64.72,62.5,66.01,61.29,53.73,69.87,3.42,-5.54,10.4,0.440,0.95,0.84,1.09
J01FA10,273,10000,96.55,64.55,62.63,66.12,54.5,44.32,61.8,10.06,3.01,20.21,0.014,0.84,0.69,0.95
J01FF01,587,10000,100,64.4,63.11,65.81,61.89,56.35,66.73,2.51,-2.52,8.07,0.314,0.96,0.88,1.04
J01MA02,1375,10000,100,61.37,60.79,63.43,67.59,64.12,71.02,-6.22,-8.86,-2.05,0.010,1.1,1.03,1.14
J01XE01,961,10000,100,62.6,60.95,63.72,69,64.97,73.6,-6.4,-10.8,-2.32,0.008,1.1,1.04,1.17
J01XX05,551,10000,100,63.29,61.15,63.92,80.18,73.73,85.27,-16.89,-23.1,-10.64,0.002,1.27,1.17,1.37
J02AC01,254,10000,100,63.3,61.47,64.67,65.45,55.73,74.22,-2.15,-11.11,7.29,0.570,1.03,0.88,1.18
J05AB11,171,10000,100,64.36,61.22,65.21,82.43,66.63,94.44,-18.07,-30.92,-3.93,0.020,1.28,1.06,1.48
J05AH02,176,10000,58.62,62.62,53.33,64.35,43.02,13.41,56.5,19.6,5.01,45.3,0.022,0.69,0.25,0.92
J07AL01,307,10000,100,63.88,61.47,64.87,62.62,52.83,69.16,1.26,-5.72,9.68,0.676,0.98,0.85,1.09
J07BB02,764,10000,96.55,61.65,60.44,64.33,55.04,50.01,62.67,6.61,0.42,12.34,0.040,0.89,0.8,0.99
L02BB03,129,306,86.21,80.1,69.52,85.69,67.7,54.84,83.19,12.4,-6.13,23.58,0.234,0.85,0.71,1.08
M01AB05,1990,1638,100,52.89,48.07,57.15,49.18,46.34,51.99,3.71,-1.46,8.46,0.204,0.93,0.85,1.03
M01AB55,243,2071,96.55,56.82,53.2,62.57,52.59,43.57,62.6,4.23,-5.39,14.94,0.332,0.93,0.75,1.09
M01AC01,235,2072,93.1,56.05,51.78,61.51,39.26,29.08,51.46,16.78,4.28,27.11,0.008,0.7,0.52,0.92
M01AC06,136,2082,96.55,57.68,54.31,63.3,42.27,33.24,56.43,15.4,2.62,26.08,0.024,0.73,0.57,0.95
M01AE01,1307,1802,100,56.33,52.59,60.35,53.55,50.03,57.35,2.77,-2.43,7.91,0.294,0.95,0.87,1.05
M01AE02,587,1992,100,59.03,55.18,62.5,48.27,41.74,54.87,10.76,3.64,17.42,<0.001,0.82,0.71,0.94
M01AE52,765,1568,100,52.76,48.2,56.67,45.73,36.91,55.51,7.03,-4.23,16.42,0.190,0.87,0.7,1.08
M01AH01,149,2108,96.55,57.69,53.61,62.3,41.95,26.02,58.23,15.74,-0.16,32.03,0.052,0.73,0.45,1
M01AH05,541,2001,100,59.02,54.68,62.03,53.18,45.2,61,5.84,-2.59,14.11,0.222,0.9,0.77,1.05
M01AX05,204,2069,93.1,60.38,55.53,63.02,48.71,37,57.33,11.67,1.91,22.15,0.020,0.81,0.63,0.97
M02AA10,612,6864,100,47.55,45.76,49.37,46.33,41.01,52.24,1.22,-4.96,6.67,0.708,0.97,0.86,1.11
M02AA13,133,7287,86.21,44.56,42.82,48.2,49.8,37.33,65.55,-5.24,-19.96,9,0.452,1.12,0.8,1.44
M02AA15,320,5381,89.66,44.11,40.13,47.1,35.26,18.25,57.99,8.85,-13.97,26.05,0.382,0.8,0.42,1.33
M03BX01,125,8204,100,47.7,43.54,49.11,74.37,57.55,83.23,-26.67,-36.1,-11.44,0.006,1.56,1.24,1.78
M04AA01,194,7846,93.1,47.34,43.64,48.67,52.87,32.84,66.89,-5.53,-21.6,12.58,0.582,1.12,0.72,1.47
M05BA04,451,7188,93.1,45.67,44.08,47.41,53.67,46.92,60.94,-8,-15.01,-1.21,0.018,1.18,1.03,1.33
N01BB02,342,10000,93.1,64.98,62.24,66,66.53,57.12,76.01,-1.56,-11.64,6.5,0.584,1.02,0.9,1.18
N02AA01,175,10000,100,64.87,62.43,66.44,68.49,55.92,84.66,-3.63,-20.08,7.77,0.518,1.06,0.88,1.31
N02AA05,856,10000,100,65.43,61.83,66.45,70.42,62.98,78.89,-4.99,-13.88,1.69,0.164,1.08,0.97,1.21
N02AA55,179,10000,93.1,64.45,61.82,66.19,78,61.1,98.89,-13.55,-34.48,2.27,0.092,1.21,0.96,1.54
N02AB03,263,10000,86.21,64.7,62.18,66.75,80.11,69.34,92.2,-15.41,-28.18,-4.66,0.006,1.24,1.07,1.44
N02AE01,844,10000,96.55,63.02,62.74,66.55,70.14,63.65,78.58,-7.13,-14.28,0.99,0.094,1.11,0.98,1.22
N02AJ06,3227,10000,100,66.69,64.43,67.43,58.65,56.1,60.85,8.04,4.58,10.33,<0.001,0.88,0.84,0.93
N02AX02,2407,10000,100,65.42,63.29,66.23,60.5,57.45,63.22,4.92,1.36,7.82,0.008,0.92,0.88,0.98
N02BE01,4628,10000,100,60.84,59.08,62.08,61.45,59.63,63.76,-0.6,-3.39,1.33,0.408,1.01,0.98,1.06
N03AE01,545,10000,100,66.28,63.75,66.58,59.56,53.32,65.45,6.72,-0.22,12.49,0.062,0.9,0.81,1
