target_drug,n_target_inits,n_control_inits,percent_balanced,target_risk,target_CI_low,target_CI_up,control_risk,control_CI_low,control_CI_up,risk_diff,risk_diff_CI_low,risk_diff_CI_up,pvalue,risk_ratio,risk_ratio_CI_low,risk_ratio_CI_up
A06AG11,169,9697,93.1,77.13,66.78,89.11,64.64,63.43,66.15,-12.49,-23.93,-2.08,0.016,1.19,1.03,1.37
A07AA02,526,10000,100,70.94,65.26,76.28,67.7,66.27,68.92,-3.25,-8.49,2.59,0.256,1.05,0.96,1.13
A07DA03,380,10000,100,69.99,62.61,76.07,67.56,65.94,68.76,-2.43,-9.07,4.99,0.464,1.04,0.93,1.13
A10AB05,132,10000,51.72,72.31,42.21,97.85,68.33,66.49,69.17,-3.97,-29.84,25.25,0.618,1.06,0.63,1.44
A10AC01,113,10000,62.07,70.21,45.98,94.15,67.31,66.43,69.01,-2.9,-26.63,20.89,0.740,1.04,0.69,1.39
A10BA02,269,10000,100,57.62,44.29,69.64,68.15,66.56,69.31,10.53,-1.79,23.73,0.102,0.85,0.65,1.03
A11CC05,811,10000,96.55,68.11,57.35,81.69,65.29,63.32,66.85,-2.82,-16.67,8.09,0.516,1.04,0.88,1.26
A11GA01,120,10000,100,90.47,78.8,99.45,67.55,66.35,68.84,-22.93,-31.72,-11.59,0.002,1.34,1.17,1.47
A12BA01,323,10000,100,75.29,67.36,84.15,66.68,65.8,68.46,-8.61,-17.1,-0.29,0.040,1.13,1,1.26
A12BA02,109,10000,100,78.58,59.16,95.75,67.42,66.08,68.69,-11.16,-27.83,8.78,0.250,1.17,0.87,1.42
A12CC30,157,10000,100,70.39,59.08,80.01,67.67,66.3,68.9,-2.72,-12.64,8.91,0.542,1.04,0.87,1.19
B01AA03,367,3020,93.1,66.8,60.33,73.44,70.01,67.48,72.24,3.21,-4.04,9.82,0.366,0.95,0.86,1.06
B01AB04,634,3185,100,65.51,59.76,71.22,70.21,67.65,72.37,4.71,-1.36,11.09,0.116,0.93,0.85,1.02
B01AB05,466,3216,100,68.94,62.38,74.98,70.55,68.02,72.82,1.61,-4.77,7.96,0.548,0.98,0.89,1.07
B01AC04,496,3190,100,66.67,59.26,74.17,71.22,68.64,73.36,4.55,-2.98,11.98,0.248,0.94,0.83,1.04
B01AC06,1145,1924,100,64.12,60.66,67.7,65.27,61.95,68.61,1.15,-3.78,6.29,0.668,0.98,0.91,1.06
B01AC07,179,3240,100,71.52,59.08,80.97,70.57,68.27,73.03,-0.95,-10.96,12.27,>0.999,1.01,0.83,1.16
B01AC30,166,3258,100,73.93,63.8,84.08,70.57,67.75,72.62,-3.36,-14.68,7.39,0.462,1.05,0.9,1.21
B01AE07,105,2570,89.66,85.87,63.23,99.02,67.35,63.57,70.72,-18.52,-33.35,3.77,0.110,1.27,0.94,1.51
B01AF01,247,2741,96.55,62.38,50.82,78.02,67.93,63.82,70.69,5.55,-10.72,17.05,0.510,0.92,0.75,1.16
